numb,year,description_short,description_long,count
1,1652,Основание Тугурского острога командой казаков под начальством И. А. Нагибы.,"<a href=""http://istorik.ucoz.com/publ/dopolnitelnyj_material/istochniki/deklaracija_o_porazhenii_germanii_1945_god/20-1-0-1305"" target=""_blank"">Декларация о поражении Германии и взятии на себя верховной власти в отношении Германии правительствами Союза Советских Социалистических Республик, Соединенного Королевства и Соединенных Штатов Америки и Временным правительством Французской республики</a><br />",1
1,1653,Основание Тауйска русским землепроходцем Михаилом Стадухиным.,"14 февраля 1950 г. было заключено соглашение с Китаем о выводе советских войск из Порт-Артура и передаче сооружений в этом районе Китаю после подписания договора с Японией, но не позже конца 1952 г. 15 сентября 1952 г. после обмена нотами между Китаем и СССР срок вывода советских войск был продлен до заключения мирных договоров между Китаем и Японией и СССР и Японией. Вывод советских войск и передача территории под китайскую юрисдикцию завершены в мае 1955 г.",2
2,1653,"Постройка Читинского, Иргенского и Нелюцкого острогов.","<a href=""http://ostrog.ucoz.ru/ostrogy/2_2.htm"" target=""_blank"">Иргенский острог</a><br />

<a href=""http://ostrog.ucoz.ru/ostrogy/2_16.htm"" target=""_blank"">Основание города Якутска</a><br />",2
1,1654,"В 1653 г. енисейский воевода Афанасий Пашков поручает боярскому сыну Дмитрию Фирсову перенести Братский острог на левый берег Оки и, следуя вверх по Ангаре, поставить острог между «немирными балаганскими людьми». Там в 1654 году был построен Балаганский острог.","<a href=""http://ostrog.ucoz.ru/ist_doc_2/1_51.htm"" target=""_blank"">Отписка енисейского воеводы Афанасия Пашкова в Сибирский приказ о постройке Балаганского острога и о поселении пашенных крестьян и служилых людей</a><br />",2
2,1654,По просьбе гетмана Запорожской Сечи Богдана Хмельницкого и в соответствии с народным волеизъявлением Украина вошла в состав Российского государства. ,"Переяславская рада (8(18) января 1654)
Переяславская рада – представительное собрание запорожских казаков в Переяславле, на котором было принято решение о вхождении Украины в состав России. Инициатором рады был Богдан Хмельницкий. 7 (17) января 1654 г. он встретился с главой российского посольства В. В. Бутурлиным. На следующий день, утром 8 (18) января, собралась старшинская рада. Руководители казачества единогласно высказались за соединение Украины и России. Днем того же дня собралась открытая рада. Богдан Хмельницкий выступил с речью, доказывающей необходимость присоединения к России в целях безопасности украинского народа и защиты его от польского гнета. После этого рада присягнула на верность царю Алексею Михайловичу. Условия договора были оформлены в виде «челобития великому государю» и отправлены в Москву. Первоначально они включали в себя 11 статей. В Москве украинское посольство добавило еще 11 статей, и одну статью добавила русская сторона. В итоге на рассмотрение Алексея Михайловича поступило 23 пункта договора. Договор был утвержден царем 14 марта 1654 г. 

<a href=""http://www.runivers.ru/doc/isl/index.php?SECTION_ID=5357&IBLOCK_ID=50&sphrase_id=50675"" target=""_blank"">Объединение Украины с Россией, подборка документов</a><br />

<a href=""https://upload.wikimedia.org/wikipedia/commons/6/6e/Bogdan_Chmelnitskiy%27s_letter_to_Alexis_I_of_Russia_%288_June_1648%2C_RGADA%29.jpg"" target=""_blank"">Письмо Гетмана Богдана Хмельницкого царю Алексею Михайловичу с сообщением о победах над польскими войсками и желании запорожских казаков вступить в русское подданство. Черкасы, 1648, 8 июня. РГАДА</a><br />",2
1,1656,"Томский сын боярский Ю. Трапезунский перенес острог на новое место — в Басагарскую волость, где-то между р. Урюп и озером Белое. ",,1
1,1661,Основание Иркутского острога.,"1661 г., после 1 июля. Отписка Енисейскому воеводе Ивану Ржевскому сына боярского Якова Похабова о строении Иркутского острога:

«Государя царя и великого князя Алексея Михайловича, всеа Великия и Малыя и Белы России самодержца, воеводе Ивану Ивановичю Енисейской сын боярской Якунка Похабов челом бьет. В нынешнем во 169 году июля в 6 день против Иркута реки на Верхоленской стороне государев новый острог служилыми людьми ставлю, и башни и потолок срублены и государев житной анбар служилые люди рубят, а на анбаре будет башня, а острог не ставлен, потому что слег не достает, лесу близко нет, лес удалел от реки. А инде стало острогу поставить негде, а где ныне Бог позволил острог ставить, и тут место самое лутчее, угожее для пашни, и скотинной выпуск и сенные покосы и рыбные ловли все близко, а опроче того места острогу ставить негде, близ реки лесу нет, стали места степные и неугожие. А как Бог свершит наготово острог, и о том будет писано в Енисейской острог к воеводе Ивану Ивановичю».

Источник:

Дополнения к актам историческим, собранные и изданные Археографическою комиссиею. – СПб., 1851. Т. 4. С. 249–250.",1
1,1664,Калмыцкое ханство официально признано Россией. Отношения протектората сохранились до указа в октябре 1771 г. Екатерины II о ликвидации ханства.,Тайше Мончаку от имени царя были вручены символы власти – позолоченная булава и знамя с изображением российского герба и полумесяца.,1
1,1666,Улан-Удэ был основан в 1666 г. как казачье зимовье Удинское на правом берегу реки Селенги при впадении в нее реки Уды.,"<a href=""http://www.vostlit.info/Texts/Dokumenty/Mongol/Rus_mong_3/61-80/61.phtml?id=13632"" target=""_blank"">Первое упоминание «на усть Уды-реки ясачного зимовья» в отписке десятника енисейских казаков О. Васильева с товарищами в Сибирский приказ о постройке Селенгинского острога, о монгольских послах и Китайском государстве.</a><br />",1
1,1667,"По условиям Андрусовского перемирия Россия возвращала Смоленск, Дорогобуж, Белую, Невель, Красный, Велиж, Северскую землю с Черниговом и Стародубом. Польша признавала вхождение Левобережной Украины в состав России.","Андрусовское перемирие 30 января 1667 г.
Андрусовское перемирие заключено между Россией и Польшей по итогам русско-польской войны 1654–1667 гг. в деревне Андрусово (близ Смоленска). Срок действия перемирия – 13, 5 лет. Русскую делегацию на переговорах возглавлял А. Л. Ордин-Нащокин, польскую – Ю. Глебович. По условиям перемирия Россия возвращала себе Смоленск, Дорогобуж, Белую, Невель, Красный, Велиж, Северскую землю с Черниговом и Стародубом. Польша признавала вхождение Левобережной Украины в состав России. Киев должен был остаться за Россией до 1669 г. Фактически же так и остался за ней. Запорожская сечь переходила под совместное управление России и Польши.
Андрусовское перемирие явилось крупным дипломатическим успехом России. Оно обеспечило вхождение в ее состав Украины и Белоруссии и ограничило польскую агрессию на Востоке.

<a href=""http://www.runivers.ru/bookreader/book9809/#page/685/mode/1up"" target=""_blank"">Текст Андрусовского перемирия</a><br />",1
1,1672,Албазинская казачья республика признала юрисдикцию русского царя.,,1
1,1678,"Соглашение между Россией и Польшей о продлении Андрусовского перемирия. В обмен на Киев отданы Себеж, Невель и Велиж.",,1
1,1697,После экспедиции В. Атласова Камчатка закреплена за Россией.,"Весной 1697 г. Атласов во главе отряда из 120 человек (60 казаков и 60 юкагиров) на оленях прошел от Анадырского острога через Корякский хребет до Камчатки. Было обследовано восточное и западное побережье Камчатки. В центральной части Камчатки захвачены четыре корякских острожка, на реке Кануч поставлен памятный крест и на реке Камчатке заложен Верхнекамчатский острог. Маршрут экспедиции закончился на южной оконечности полуострова.
В 1700 г. Атласов вернулся в Якутск, откуда в 1701 г. был отправлен воеводой в Москву для представления отчета о камчатском походе. По пути, в Тобольске, он показал свои материалы С. У. Ремезову, составившему с его помощью один из детальных чертежей полуострова Камчатка. В Москве Атласов прожил с конца января по февраль 1701 г. и представил ряд «скасок», полностью или частично опубликованных несколько раз. Они содержали первые сведения о рельефе и климате Камчатки, о ее флоре и фауне, о морях, омывающих полуостров, и об их ледовом режиме. В «скасках» Атласов сообщил некоторые данные о Курильских островах, довольно обстоятельные известия о Японии и краткую информацию о «Большой Земле» (Северо-Западной Америке).

<a href=""http://ostrog.ucoz.ru/publikacii_2/4_64.htm"" target=""_blank"">«Скаски» Владимира Атласова</a><br />",1
1,1700,"По условиям Константинопольского договора за Россией оставалась турецкая крепость Азов, а также ряд вновь основанных на завоеванных территориях крепостей:Таганрог, Павловск и Миус.","Константинопольский мирный договор – договор между Россией и Турцией. Заключен 3 (13) июля 1700 г. в Константинополе. Договор закреплял русские завоевания в Азовских походах 1695–1696 гг. Русское посольство в Константинополь возглавил глава Посольского приказа Е. И. Украинцев.
По условиям договора за Россией оставалась турецкая крепость Азов, а также ряд вновь основанных на завоеванных территориях крепостей: Таганрог, Павловск и Миус. При этом Турции были возвращены некоторые занятые русскими войсками территории с мелкими крепостями. Они должны были быть уничтожены.
Также Россия и Турция брали на себя обязательство не строить в пограничной полосе никаких новых военный укреплений и не совершать вооруженных набегов на территории друг друга.
Турция освобождала русских пленных. Россия получала право открыть в Константинополе дипломатическое представительство на равных правах с другими державами. Россия была освобождена от уплаты дани крымскому хану.
Константинопольский мирный договор должен был обеспечить нейтралитет Турции в планируемой Россией войне со Швецией (см. Северная война).
Договор был заключен на 30 лет, однако в ноябре 1710 г. был нарушен турецким султаном, объявившим войну России

<a href=""http://www.runivers.ru/bookreader/book456128/#page/29/mode/1up"" target=""_blank"">Текст Константинопольского мирного договора</a><br />

<a href=""http://www.runivers.org/gal/gallery-all.php?SECTION_ID=7092&ELEMENT_ID=577820"" target=""_blank"">Настольная медаль «В память Константинопольского мирного договора»</a><br />",1
1,1703,"В 1703 г. был основан Санкт-Петербург. Юридически земли, на которых располагался город, отошли России по Ништадскому миру, заключенному в 1721 г.","Ништадский мирный договор (30 августа (10 сентября) 1721)
Ништадский мирный договор – договор между Россией и Швецией, завершивший Северную войну 1700–1721 гг. Был заключен в городе Ништадт (ныне Уусикаупунки, Финляндия) 30 августа (10 сентября 1721 г.). Со стороны России договор был подписан Я. В. Брюсом и А. И. Остерманом, со стороны Швеции – Ю. Лилльенстедтом и О. Стрёмфельдом.
До подписания этого договора граница между Россией и Швецией определялась Столбовским мирным договором 1617 г. Ништадским миром за Россией были закреплены обширные территории, ранее принадлежавшие Швеции: часть Карелии с Кексгольмом к северу от Ладожского озера, Ингерманладия (Ижорская земля), часть Эстляндии с Ревелем и Нарвой, часть Лифляндии с Ригой, острова Эзель и Даго. Россия за приобретенные земли должна была выплатить Швеции денежную компенсацию в размере около полутора млн рублей, а также вернуть б?льшую часть занятой русскими войсками Финляндии. Восстанавливались торговые отношения между двумя странами: Швеции получала право ежегодно вывозить из России на 50 000 руб. хлеба без уплаты пошлин. Договор предусматривал обмен пленными и амнистию преступникам и перебежчикам, кроме казаков И. Мазепы. Дворянство перешедших к России территорий сохраняло свои привилегии, самоуправление и вероисповедание.
Таким образом, Россия закрепила выход в Балтийское море. В ознаменование заключения Ништадского мира 22 октября (2 ноября) 1721 г. Петр I по прошению Сената принял титул Отца Отечества, Императора Всероссийского, а также Петра Великого.

<a href=""http://www.runivers.ru/bookreader/book9814/#page/422/mode/1up"" target=""_blank"">Текст Ништадского мирного договора</a><br />

<a href=""http://raritety.rusarchives.ru/dokumenty/relyaciya-o-zaklyuchenii-mira-so-shveciey-s-opisaniem-torzhestva-podneseniya-i-prinyatiya-gosudarem"" target=""_blank"">Реляция о заключении мира со Швецией с описанием торжества поднесения и принятия государем титула «Отца Отечества, Императора Всероссийского Петра Великого»</a><br />

<a href=""http://www.runivers.ru/mp/maps-detail.php?ID=466744&SECTION_ID="" target=""_blank"">Территориальные изменения по Ништадскому мирному договору 30 августа 1721 г.</a><br />",1
1,1709,Государственное освоение Алтая начинается с постройки на этой территории Бикатунской крепости.,"Первая русская крепость на территории края была построена в июне 1709 г. на правом берегу Бии. В качестве гарнизона «в том остроге оставлено для оберегательства от приходу воинских людей служилых людей 100 человек». Однако летом следующего 1710 г. Бикатунский острог подвергся нападению джунгар и был сожжен.

<a href=""http://library.altspu.ru/althistory/documents/RU%5cASPA%5cALTHISTORY%5c341"" target=""_blank"">1708 г. февраля 29. – Распоряжение князя М. П. Гагарина дьякам Сибирского приказа подготовить и послать кузнецкому стольнику и воеводе Михаилу Овцыну государеву грамоту с приказом о строительстве острога «на реках Бии и Катуни»</a><br />
Российский государственный архив древних актов. Ф. 214 (Сибирский приказ). Оп. 5. Д. 1265. Л. 8–9.

<a href=""http://library.altspu.ru/althistory/documents/RU%5cASPA%5cALTHISTORY%5c342"" target=""_blank"">1708 г. марта 5. – Государева грамота из Сибирского приказа кузнецкому воеводе М. Овцыну о строительстве острога на Бии и Катуни. </a><br />
Российский государственный архив древних актов. Ф. 214 (Сибирский приказ). Оп. 5. Д. 1265. Л. 10–11.

<a href=""http://library.altspu.ru/althistory/documents/RU%5cASPA%5cALTHISTORY%5c344"" target=""_blank"">1709 г. после 23 августа. – Сообщение из Кузнецкого острога о сооружении Бикатунского острога и отражении набега ойратских подданных на Кузнецк с указанием фамилий российских служилых, участвовавших в бою.</a><br />
 Российский государственный архив древних актов. Ф.214 (Сибирский приказ). Оп. 5. Д. 1660. Л. 1–9.",1
1,1711,По Прутскому договору Россия отдавала Турции Азов.,"Мирный договор между Россией и Турцией, подписанный 12/23 июля 1711 г. на реке Прут, близ г. Яссы, по итогам Прутского похода 1711 г. Договор стал результатом поражения войск Петра I. Россия отдавала Турции Азов, обязывалась срыть построенные ею крепости Таганрог, Каменный затон и Богородицк. Кроме того, ей запрещалось вмешиваться в польские дела и иметь посла в Константинополе. Со своей стороны Турция должна была не препятствовать возвращению русских войск обратно в Россию и выслать за свои пределы шведского короля Карла XII. Однако условия договора не соблюдались, что в 1713 г. дало Турции повод начать войну против России.",1
1,1712,Открытие Я. Пермяковым и М. Вагиным островов Большой и Малый Ляховский – первых открытых островов Новосибирского архипелага.,,1
1,1721,"Ништадским миром за Россией были закреплены Лифляндия, Эстляндия, Ингерманландия, часть Карелии, ранее принадлежавшие Швеции. Таким образом Россия закрепила выход в Балтийское море.","Ништадский мирный договор (30 августа (10 сентября) 1721)
Ништадский мирный договор – договор между Россией и Швецией, завершивший Северную войну 1700–1721 гг. Был заключен в городе Ништадт (ныне Уусикаупунки, Финляндия) 30 августа (10 сентября 1721 г.). Со стороны России договор был подписан Я. В. Брюсом и А. И. Остерманом, со стороны Швеции – Ю. Лилльенстедтом и О. Стрёмфельдом.
До подписания этого договора граница между Россией и Швецией определялась Столбовским мирным договором 1617 г. Ништадским миром за Россией были закреплены обширные территории, ранее принадлежавшие Швеции: часть Карелии с Кексгольмом к северу от Ладожского озера, Ингерманладия (Ижорская земля), часть Эстляндии с Ревелем и Нарвой, часть Лифляндии с Ригой, острова Эзель и Даго. Россия за приобретенные земли должна была выплатить Швеции денежную компенсацию в размере около полутора млн рублей, а также вернуть б?льшую часть занятой русскими войсками Финляндии. Восстанавливались торговые отношения между двумя странами: Швеции получала право ежегодно вывозить из России на 50 000 руб. хлеба без уплаты пошлин. Договор предусматривал обмен пленными и амнистию преступникам и перебежчикам, кроме казаков И. Мазепы. Дворянство перешедших к России территорий сохраняло свои привилегии, самоуправление и вероисповедание.
Таким образом, Россия закрепила выход в Балтийское море. В ознаменование заключения Ништадского мира 22 октября (2 ноября) 1721 г. Петр I по прошению Сената принял титул Отца Отечества, Императора Всероссийского, а также Петра Великого.

<a href=""http://www.runivers.ru/bookreader/book9814/#page/422/mode/1up"" target=""_blank"">Текст Ништадского мирного договора</a><br />

<a href=""http://raritety.rusarchives.ru/dokumenty/relyaciya-o-zaklyuchenii-mira-so-shveciey-s-opisaniem-torzhestva-podneseniya-i-prinyatiya-gosudarem"" target=""_blank"">Реляция о заключении мира со Швецией с описанием торжества поднесения и принятия государем титула «Отца Отечества, Императора Всероссийского Петра Великого»</a><br />

<a href=""http://www.runivers.ru/mp/maps-detail.php?ID=466744&SECTION_ID="" target=""_blank"">Территориальные изменения по Ништадскому мирному договору 30 августа 1721 г.</a><br />",3
2,1721,"Перенос столицы России из Москвы в Санкт-Петербург состоялся до формального присоединения земель к России по Ништадтскому договору. Таким образом, до подписания договора столица размещалась на территории, формально принадлежащей другому государству.","Ништадский мирный договор (30 августа (10 сентября) 1721)
Ништадский мирный договор – договор между Россией и Швецией, завершивший Северную войну 1700–1721 гг. Был заключен в городе Ништадт (ныне Уусикаупунки, Финляндия) 30 августа (10 сентября 1721 г.). Со стороны России договор был подписан Я. В. Брюсом и А. И. Остерманом, со стороны Швеции – Ю. Лилльенстедтом и О. Стрёмфельдом.
До подписания этого договора граница между Россией и Швецией определялась Столбовским мирным договором 1617 г. Ништадским миром за Россией были закреплены обширные территории, ранее принадлежавшие Швеции: часть Карелии с Кексгольмом к северу от Ладожского озера, Ингерманладия (Ижорская земля), часть Эстляндии с Ревелем и Нарвой, часть Лифляндии с Ригой, острова Эзель и Даго. Россия за приобретенные земли должна была выплатить Швеции денежную компенсацию в размере около полутора млн рублей, а также вернуть б?льшую часть занятой русскими войсками Финляндии. Восстанавливались торговые отношения между двумя странами: Швеции получала право ежегодно вывозить из России на 50 000 руб. хлеба без уплаты пошлин. Договор предусматривал обмен пленными и амнистию преступникам и перебежчикам, кроме казаков И. Мазепы. Дворянство перешедших к России территорий сохраняло свои привилегии, самоуправление и вероисповедание.
Таким образом, Россия закрепила выход в Балтийское море. В ознаменование заключения Ништадского мира 22 октября (2 ноября) 1721 г. Петр I по прошению Сената принял титул Отца Отечества, Императора Всероссийского, а также Петра Великого.

<a href=""http://www.runivers.ru/bookreader/book9814/#page/422/mode/1up"" target=""_blank"">Текст Ништадского мирного договора</a><br />

<a href=""http://raritety.rusarchives.ru/dokumenty/relyaciya-o-zaklyuchenii-mira-so-shveciey-s-opisaniem-torzhestva-podneseniya-i-prinyatiya-gosudarem"" target=""_blank"">Реляция о заключении мира со Швецией с описанием торжества поднесения и принятия государем титула «Отца Отечества, Императора Всероссийского Петра Великого»</a><br />

<a href=""http://www.runivers.ru/mp/maps-detail.php?ID=466744&SECTION_ID="" target=""_blank"">Территориальные изменения по Ништадскому мирному договору 30 августа 1721 г.</a><br />",3
3,1721,Полузависимое терское казачество в марте 1721 г. было подчинено Военной коллегии.,,3
1,1723,"По условиям Петербургского договора Россия получала Дербент, Баку, провинции Ширван, Гилен, Мазедеран, Астарабад, а также западное и южное побережье Каспийского моря.","Петербургский договор 1723 г. – мирный договор между Россией и Персией, подписанный 12 сентября 1723 г. по итогам Персидского похода 1722–1723 гг. По его условиям Россия получала Дербент, Баку, провинции Ширван, Гилен, Мазедеран, Астарабад, а также западное и южное побережье Каспийского моря. Особой статьей предусматривался оборонительный союз обеих сторон против Турции.

<a href=""http://www.runivers.ru/bookreader/book456128/#page/213/mode/1up"" target=""_blank"">Текст Петербургского договора</a><br />",1
1,1727,"В результате подписания Буринского договора площадь России и Китая не изменилась, была определена линия границы.","Российско-китайская граница была определена к западу от реки Аргунь до перевала Шабин-Дабат (Западные Саяны). Позднее эти границы были закреплены Кяхтинским договором 1727 г. на основании условий, выработанных в ходе переговоров по обсуждению Буринского договора.

<a href=""http://www.runivers.ru/bookreader/book456128/#page/265/mode/1up"" target=""_blank"">Текст Буринского договора</a><br />",1
1,1731,Протекторат России над Младшим жузом.,"Младший жуз — группа казахских родов и племен, состоящая из трех племенных союзов: алимулы, байулы и жетыру.",1
1,1732,"По Рештскому договору Россия возвращала Персии провинции Гилян, Мазандеран и Астрабад.","Рештский договор (21 января / 1 февраля 1732 г.)
Союзный договор между Россией и Персией против Турции был подписан в г. Реште 21 января/1 февраля 1732 г. Россия возвращала Персии провинции Гилян, Мазандеран и Астрабад, полученные ей в результате Персидского похода 1722 г. по условиям Петербургского мира 1723 г. Граница между Россией и Персией устанавливалась по реке Кура. За нее выводились русские войска. Россия получала право беспошлинной торговли с Персией. 

<a href=""http://www.runivers.ru/bookreader/book456128/#page/222/mode/1up"" target=""_blank"">Текст Рештского договора</a><br />",3
2,1732,Протекторат России над Средним жузом,"В 1732 г. российской императрице Анне Иоанновне присягнул хан Среднего жуза Самеке. Средний жуз — группа казахских племенных объединений в Центральном, Северном и Восточном Казахстане.",3
3,1732,"Русские моряки на боте «Св. Гавриил» под началом подштурмана Ивана Федорова, геодезиста Михаила Гвоздева, морехода Кондратия Мошкова первыми из европейцев высадились на Аляске.","Первыми европейцами, увидевшими берега Аляски, были участники экспедиции Семена Дежнева в 1648 г. Для проверки информации Дежнева Петр I организовал экспедицию Витуса Беринга и Алексея Чирикова, чтобы окончательно удостовериться, соединена Азия с Америкой или нет. В 1741 г. вторая экспедиция Беринга и Чирикова подробно обследовала и нанесла на карту побережье Аляски и Алеутские острова.",3
1,1739,По условиям Белградского договора России возвращался Азов без права его военного укрепления. Земли запорожских казаков получили российское подданство.,"Белградский мирный договор (18/29 сентября 1739 г.)
Договор между Россией и Турцией был подписан по итогам русско-турецкой войны 1735–1739 гг. Посредником на переговорах был французский посол в Константинополе маркиз де Вильнёв. По условиям договора России возвращался Азов без права его военного укрепления. Россия получала право строительства крепости на острове Черкаске на Дону, Турция – в устье Кубани. России запрещалось иметь флот на Черном и Азовском морях. Торговля на Черном море могла вестись только на турецких судах. Между Россий и Турцией устанавливалась буферная зона – Большая и Малая Кабарда.
Условия Белградского мира не отвечали ни интересам России, ни ее успехам в войне. Само подписание мира носило явно преждевременный характер и стало следствием подписания сепаратного мира между Австрией, союзницей России в этой войне, и Турцией 21 августа/1 сентября 1739 г. Кроме того, назревала война со Швецией. Эти обстоятельства и обусловили дипломатическое поражение России после победоносной войны.

<a href=""http://www.runivers.ru/bookreader/book456128/#page/43/mode/1up"" target=""_blank"">Текст Белградского мирного договора</a><br />",1
1,1741,"Обследование полуострова Таймыр экспедицией Х. Лаптева, составление его карты","<a href=""https://coollib.net/i/60/39960/zahalak3.png"" target=""_blank"">Схема санных маршрутов отряда Х. Лаптева на Таймыре</a><br />
Из книги В. А. Троицкий «Записки Харитона Лаптева»",2
2,1741,Открытие Командорских островов экспедицией В. Беринга.,"4 июня 1741 г. пакетботы «Святой Петр» и «Святой Павел» Второй Камчатской экспедиции под командованием Витуса Беринга и Алексея Чирикова вышли в плавание к берегам Америки на поиски мифической земли Хуана де Гама. Выяснив, что ее не существует, «Святой Петр» совершил плавание к западным берегам Америки. На обратном пути 7 ноября 1741 г. экипаж судна высадился на необитаемый остров для зимовки, во время которой скончался Витус Беринг. Этот остров был назван островом Беринга. Остров Медный, второй из четырех Командорских островов, был открыт промышленником Емельяном Басовым в 1743 г.

<a href=""http://www.runivers.ru/maps/russatlas/34/"" target=""_blank"">Атлас Российский, состоящий из девятнадцати специальных карт, представляющих Всероссийскую империю с пограничными землями. 1745 г. Генеральная карта Российской империи</a><br />


<a href=""http://www.runivers.ru/bookreader/book9816/#page/735/mode/1up"" target=""_blank"">Указ Анны Иоанновны №6023. Апреля 17, 1732 г. Именной, данный Сенату «Об отправлении капитан-командора Беринга в Камчатку»</a><br />

<a href=""http://www.runivers.ru/bookreader/book9816/#page/756/mode/1up"" target=""_blank"">Указ Анны Иоанновны №6023. Апреля 17, 1732 г. Именной, данный Сенату «Об отправлении капитан-командора Беринга в Камчатку»</a><br />

<a href=""http://www.runivers.ru/bookreader/book9816/#page/759/mode/1up"" target=""_blank"">Указ Анны Иоанновны №6042. Мая 2, 1732 г. Сенатский «Об отправлении капитан-командора Беринга на морских судах для проведывания новых земель, лежащих между Америкою и Камчаткою»</a><br />

<a href=""http://www.runivers.ru/bookreader/book9816/#page/988/mode/1up"" target=""_blank"">Указ Анны Иоанновны №6291. Декабря 28, 1732 г. Высочайшее утверждение правила, данные капитан-командору Берингу, относительно плавания его в Восточном океане</a><br />",2
1,1743,Согласно Абоскому миру к России присоединена пограничная полоса земель с крепостью Нейшлот и городами Вильманстранд и Фридрихсгам. Территориальное приобретение России составило 226 кв. мили,"Абоский договор подписан между Россией и Швецией в г. Або (Финляндия) 18/30 августа 1812 г. С русской стороны договор подписал Н. П. Румянцев, со шведской – К. Левенгельм. Договор представляет собой секретное соглашение, дополняющее Петербургский союзный договор 34 марта / 5 апреля 1812 г. Стороны выражали желание «еще более укрепить счастливое согласие» в отношениях между ними. Александр I обещал оказать военную помощь Швеции против Дании и давал согласие на присоединение к Швеции датского острова Зеландии. Шведский принц Карл-Юхан (Бернадот) со своей стороны не возражал против присоединения к России части герцогства Варшавского (до Вислы). Россия предоставляла Швеции заем в 1,5 млн руб. Обе стороны приглашали Англию присоединиться к данному договору. Секретная статья содержала взаимные обязательства предоставить 12–15 тыс. человек в случае нападения на одну из сторон третьей стороны. Абоский договор значительно укрепил русско-шведские отношения. Швеция отказывалась от претензий на Финляндию и Аландские острова, а Россия способствовала укреплению на шведском престоле новой династии Бернадотов. 

<a href=""http://www.runivers.ru/bookreader/book9819/#page/864/mode/1up"" target=""_blank"">Текст Абоского мира</a><br />

<a href=""https://histdoc.net/nystad/abo1743.html"" target=""_blank"">Текст Абоского мира (на шведском языке)</a><br />

<a href=""http://www.runivers.ru/mp/maps-detail.php?ID=469520&SECTION_ID=8212
"" target=""_blank"">Карта Финляндии с указанием границ России и Швеции в разное время по договорам, а также по картам генерального штаба, Гермелина, Лоттера, Аф-Кнорринга и других</a><br />",1
